y_predict,y_score,y_true
0,0.99986684,0
2,0.99958605,0
0,0.81031424,0
1,0.67640305,0
0,0.9986802,0
0,0.99421906,0
0,0.99999964,0
0,0.9999695,0
0,0.9999602,0
2,0.49593738,0
0,0.9981268,0
2,0.9774237,0
0,0.99998283,0
2,0.9915274,0
2,0.999724,0
2,0.55610925,0
2,0.99999356,0
0,0.9999902,0
0,1.0,0
0,0.9999819,0
0,0.82931226,0
2,0.99984074,0
0,0.95603853,0
2,0.8272665,0
0,0.99944943,0
2,0.9977709,0
0,0.99434954,0
0,0.9996331,0
2,0.5139048,0
0,0.92041725,0
0,0.9999485,0
0,0.9991555,0
2,0.99311817,0
0,0.99995327,0
0,0.87046134,0
2,0.72948456,0
0,0.9999999,0
2,0.9848428,0
2,0.89122015,0
2,0.7527543,0
2,0.9999901,0
0,0.99922574,0
2,0.8708352,0
0,0.9999727,0
2,0.99980956,0
2,0.9989141,0
2,0.99991035,0
2,0.99965584,0
2,0.9978237,0
0,0.96731836,0
2,0.99992204,0
2,0.9931891,0
2,0.9999782,0
2,0.9872363,0
2,0.99998534,0
0,1.0,0
2,0.86864847,0
0,0.99928015,0
2,0.58518565,0
0,0.9984756,0
0,1.0,0
1,0.99998856,0
2,0.97155917,0
0,1.0,0
0,1.0,0
0,0.9999999,0
0,0.99999404,0
2,0.9381097,0
2,0.74095005,0
0,1.0,0
0,0.99999976,0
0,1.0,0
0,0.9989557,0
0,0.982853,0
0,0.9999989,0
2,0.69861484,0
0,0.9917641,0
0,1.0,0
0,1.0,0
0,0.99872607,0
2,0.56416714,0
2,0.9565079,0
0,1.0,0
0,1.0,0
0,1.0,0
0,0.999998,0
0,1.0,0
2,0.98800373,0
0,0.99998164,0
0,0.99999785,0
0,1.0,0
0,0.9999876,0
0,0.9999498,0
0,0.9999826,0
0,0.9999999,0
0,0.9999999,0
0,0.99977857,0
0,0.8383045,0
2,0.52446604,0
0,0.9999993,0
1,0.63010216,1
1,1.0,1
1,1.0,1
1,1.0,1
1,0.9921038,1
1,1.0,1
1,0.99982506,1
1,0.7259941,1
2,0.9999976,1
1,0.999736,1
2,0.97581726,1
1,0.99913496,1
2,0.9402004,1
1,0.9969741,1
1,0.9999987,1
1,1.0,1
1,0.98605967,1
2,0.99183977,1
1,1.0,1
1,0.99922156,1
1,0.64484173,1
1,0.7684841,1
1,0.79704535,1
2,0.99375856,1
1,0.6180643,1
2,0.99903774,1
2,0.99999964,1
1,1.0,1
1,1.0,1
1,0.56483686,1
2,0.9996662,1
1,0.9999466,1
1,1.0,1
1,0.9875323,1
1,1.0,1
1,1.0,1
1,0.999371,1
1,0.9999895,1
1,0.5032053,1
1,0.9910285,1
1,1.0,1
2,0.9950133,1
2,0.9989084,1
1,0.89764094,1
1,0.99274653,1
2,0.9996495,1
1,0.98594636,1
1,0.9999896,1
1,0.9999852,1
1,0.9996265,1
1,0.9999981,1
1,0.9397724,1
1,0.92752135,1
2,0.4823175,1
1,0.91280174,1
1,0.99998105,1
1,1.0,1
2,0.7378534,1
2,0.9792628,1
1,0.994816,1
1,0.98613596,1
1,1.0,1
1,0.99999607,1
2,0.8970925,1
2,0.9999856,1
2,0.82227355,1
1,0.9999995,1
2,0.945764,1
2,0.9986394,1
2,0.9976017,1
1,0.99887913,1
1,0.99979657,1
1,0.999931,1
1,1.0,1
1,0.9986852,1
1,0.9999957,1
1,0.9950098,1
2,0.99048084,1
2,0.9701836,1
1,0.9999999,1
1,0.99943393,1
1,0.9084963,1
1,1.0,1
1,0.9999999,1
1,1.0,1
1,0.9999902,1
1,0.9999999,1
1,0.9995598,1
1,0.9999902,1
1,0.98544747,1
1,0.9995983,1
1,1.0,1
1,0.9999999,1
1,1.0,1
1,1.0,1
1,0.9999993,1
1,1.0,1
1,0.9995591,1
1,0.8906948,1
1,0.71400005,1
2,1.0,2
2,0.94072074,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.9999999,2
2,1.0,2
2,1.0,2
2,0.99999976,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.9999995,2
2,1.0,2
2,1.0,2
2,0.99999917,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.99999964,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.99999547,2
2,0.99999547,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.9999994,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.99709284,2
2,1.0,2
2,1.0,2
2,0.99999976,2
2,0.9999999,2
2,0.99999976,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.99998605,2
2,0.90928364,2
2,0.9999999,2
2,0.999998,2
2,0.9999995,2
2,1.0,2
2,1.0,2
2,0.9999949,2
2,0.99999964,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.99999964,2
2,1.0,2
2,0.99973637,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.9999999,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,1.0,2
2,0.99997795,2
1,0.88284695,2
2,0.99998903,2
2,1.0,2
